64
1,1619
2,1571
3,1579
4,1497
5,1471
6,1547
7,1471
8,1484
9,1577
10,1529
11,1497
12,1592
13,1452
14,1484
15,1497
16,1570
17,1594
18,1529
19,1452
20,1484
21,1581
22,1501
23,1484
24,1452
25,1503
26,1529
27,1452
28,1524
29,1497
30,1452
31,1484
32,1619
33,1555
34,1452
35,1484
36,1529
37,1507
38,1452
39,1533
40,1534
41,1452
42,1452
43,1484
44,1484
45,1471
46,1484
47,1452
48,1484
49,1452
50,1503
51,1503
52,1452
53,1508
54,1452
55,1484
56,1452
57,1484
58,1484
59,1484
60,1471
61,1484
62,1484
63,1452
64,1452
