44
4,101,1;21;58;34,0000
4,102,2;45;62;19,0000
4,103,3;53;31;27,0000
4,104,4;60;23;38,0000
4,105,29;5;55;41,0000
4,106,18;6;44;63,0000
4,107,22;7;57;30,0000
4,108,36;50;8;64,0000
4,109,9;33;20;47,0000
4,110,10;40;59;24,0000
4,111,11;25;61;49,0000
4,112,12;28;35;54,0000
4,113,26;51;43;13,0000
4,114,32;37;14;56,0000
4,115,15;39;48;42,0000
4,116,16;17;46;52,0000
4,117,1;9;51;5,0000
4,118,6;3;25;15,0000
4,119,21;33;26;29,0000
4,120,39;53;18;11,0000
4,121,2;37;10;7,0000
4,122,16;28;50;4,0000
4,123,32;40;22;45,0000
4,124,17;12;36;60,0000
2,125,1;3,00
2,126,28;39,00
2,127,9;2,00
2,128,32;53,00
2,129,12;21,00
2,130,6;22,00
2,131,17;37,00
2,132,33;16,00
2,133,1;28,00
2,134,32;9,00
2,135,12;6,00
2,136,17;33,00
2,137,3;39,00
2,138,2;53,00
2,139,21;22,00
2,140,16;37,00
2,141,9;28,00
2,142,33;6,00
2,143,3;2,00
2,144,21;16,00
